respondent_id,role,class_name,submitted_at,S0.1,S0.2,S0.3,S0.4,S1.1,S1.1__freetext,S1.2,S1.3,S1.4,S1.5,S1.6,S2.1,S2.2,S2.3,S2.4,S2.4__freetext,S2.5,S3.1,S3.2,S3.3,S3.4,S3.5,S3.6,S3.7,S4.1,S4.2,S4.3,S4.4,S4.5,S5.1,S5.2,S5.3,S5.4,S5.5,S6.1,S6.2,S6.3,S6.4,S7.1,S7.2,S7.3
S148,student,2CHIF,2026-05-08T09:11:18.7966667,10. Schulstufe,Informatik,3,"Ja, regelmäßig",Google Gemini|ChatGPT|Claude Code|GitHub Copilot,Canva,Nein,Etwa einmal pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code|Prüfungsvorbereitung",Smartphone,3,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Hauptsächlich zu Hause,Angewandte Mathematik|Programmierunterricht|Physik,,Wenn ich jetzt eine frage habe zu einem Leserbrief soll der es mir erklären wie meine jetzige Deutsch Professorin oder die Benotung wie eine Lehrperson machen. ,"Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Zusammenfassungen von Unterrichtsmaterial erstellen|Sich an mein Lerntempo und meinen Wissensstand anpassen",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,Beides wäre hilfreich,Sie erklären es manchmal voll komisch und egal wie oft man sich wiederholt man kommt nicht weiter,3,3,2,4,2,Bessere Erklärungen als im Lehrbuch|Motivation und Abwechslung beim Lernen|Personalisiertes Lerntempo,4,4,Manchmal,3,4,2,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Um häufige Missverständnisse zu erkennen,"Wäre nett, aber nicht entscheidend",lehrer sollen nicht wissen wer was gefragt hat,nicht suchen müssen sondern dirket fragen können ohne dieser angst einen lehrer zu fragen.,
S149,student,2CHIF,2026-05-08T09:11:21.6000000,10. Schulstufe,Informatik,3,"Ja, regelmäßig",ChatGPT|Claude Code,,Nein,Mehrmals pro Woche,"Programmieren und Fehlersuche im Code|Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren",Laptop,2,Täglich,"Bei Hausübungen, wenn ich nicht weiterkomme|Beim Programmieren (Fehler finden, Code verstehen)|Um Texte zu verbessern oder Feedback zu bekommen",Beides gleichermaßen,Physik|Programmierunterricht|Angewandte Mathematik,,nur geschult auf htl stoff damit bessere und relevantere ergebnisse kommen,"Stoff Schritt für Schritt erklären|Sich an mein Lerntempo und meinen Wissensstand anpassen|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten",Mit Beispielen und Vergleichen aus dem Alltag,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,"Nein, Deutsch reicht völlig",nichts,1,2,3,3,2,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Individuelles Feedback auf meine Aufgaben",2,3,Selten,4,2,3,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Um häufige Missverständnisse zu erkennen,"Ja, Quellenangaben sind mir wichtig","Lange lade Zeiten, schlechte quellen.",Themen verstehen die einem vorher unklar waren.,
S150,student,2CHIF,2026-05-08T09:11:25.5266667,10. Schulstufe,Informatik,3,"Ja, regelmäßig",ChatGPT|Claude Code|Google Gemini,,Weiß nicht (z.B. Eltern zahlen),Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code|Prüfungsvorbereitung",Laptop,2,Täglich,"Zur Vorbereitung auf Tests und Schularbeiten|Bei Hausübungen, wenn ich nicht weiterkomme|Beim Programmieren (Fehler finden, Code verstehen)",Weiß ich noch nicht,Angewandte Mathematik|Programmierunterricht|Physik,,Bessere Erklärungen geben mit ein paar beispielen,Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Zusammenfassungen von Unterrichtsmaterial erstellen,Das hängt vom Thema ab — ich möchte wählen können,Die komplette Lösung zeigen und erklären,4,"Nein, Deutsch reicht völlig",,3,2,2,2,4,"Gezielte Vorbereitung auf Prüfungen|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Individuelles Feedback auf meine Aufgaben",3,2,Manchmal,3,3,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,"Nein, mir reicht eine gute Antwort",Wenn er mir falsche Antworten gibt,Lernen,
S151,student,2CHIF,2026-05-08T09:11:31.3300000,10. Schulstufe,Informatik,3,"Ja, regelmäßig",ChatGPT|Microsoft Copilot|GitHub Copilot,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Texte schreiben oder verbessern|Programmieren und Fehlersuche im Code",Laptop,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Beim Programmieren (Fehler finden, Code verstehen)",Beides gleichermaßen,Deutsch|Angewandte Mathematik|Programmierunterricht,,Antwort basierend auf Angaben,"Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten",Mit Beispielen und Vergleichen aus dem Alltag,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,"Nein, Deutsch reicht völlig",,3,3,2,3,2,"Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen|Individuelles Feedback auf meine Aufgaben",3,3,Manchmal,2,4,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Um den Unterricht besser an unsere Fragen anzupassen|Um häufige Missverständnisse zu erkennen,"Ja, Quellenangaben sind mir wichtig","Wenn er Daten/Chatverläufe weitergibt, ohne uns vorher zu informieren/fragen","Nachlernen, Erklärungen",Ein eigenes Unterrichtsfach für niedrigere Stufen wäre schön
S152,student,2CHIF,2026-05-08T09:12:27.6100000,10. Schulstufe,Informatik,3,"Ja, regelmäßig",ChatGPT,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Texte schreiben oder verbessern|Programmieren und Fehlersuche im Code",Smartphone,2,Seltener,"Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Beim Programmieren (Fehler finden, Code verstehen)|Zur Vorbereitung auf Tests und Schularbeiten",Weiß ich noch nicht,Programmierunterricht|Angewandte Mathematik|Physik,,"Antworten auf meinem Niveau, die ich auch verstehe. Angepasst auf den Stoff den wir bekommen. Kein langes hin und her diskutieren, bis ich einigermaßen verstehe was die KI meint. Etc.",Stoff Schritt für Schritt erklären|Zusammenfassungen von Unterrichtsmaterial erstellen|Sich an mein Lerntempo und meinen Wissensstand anpassen,Das hängt vom Thema ab — ich möchte wählen können,Die komplette Lösung zeigen und erklären,4,Beides wäre hilfreich,"Dass man ohne zu bezahlen nicht so viel wie man braucht hochladen kann. Manche aufgaben bestehen aus mehreren Seiten (screenshots) oder anderen dateien, weshalb man mehrere Accounts nutzen muss, wobei jede KI das bisschen anders erklärt, weil sie den kontext von vorher nicht kennt und dann dauert es unnötig lange bis man irgendwas versteht.",2,2,2,3,2,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts",2,3,Manchmal,3,4,3,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist","Um zu sehen, ob der KI-Tutor gut funktioniert|Für keinen Zweck — meine Chats sollen privat bleiben","Wäre nett, aber nicht entscheidend","Daten weiter geben. Ständiges diskutieren. Falschinfos. Eine ""Kommunikations Barriere"" (man erklärt etwas, aber die KI versteht was komplett anderes darunter. ",--,--
S153,student,2CHIF,2026-05-08T09:12:28.9900000,10. Schulstufe,Informatik,3,"Ja, regelmäßig",ChatGPT|Claude Code,,"Ja, über 10 €/Monat",Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code|Zusammenfassungen erstellen",Laptop,2,Mehrmals pro Woche,"Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Beim Programmieren (Fehler finden, Code verstehen)",Weiß ich noch nicht,Programmierunterricht|Angewandte Mathematik,,Audio (Podcast) Erstellung von einem Text welchen ich mir dann im Zug oder Bus anhören kann um den Stoff aus dem Text zu lernen und zu verstehen,"Stoff Schritt für Schritt erklären|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Sich an mein Lerntempo und meinen Wissensstand anpassen",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,Beides wäre hilfreich,Die Podcast funktion,3,2,3,4,4,"Personalisiertes Lerntempo|Individuelles Feedback auf meine Aufgaben|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts",3,3,Meistens,1,4,4,Nur wenn ich vorher informiert werde,"Um häufige Missverständnisse zu erkennen|Um zu sehen, ob der KI-Tutor gut funktioniert","Ja, Quellenangaben sind mir wichtig",Wenn er nach Persönlichen Daten fragt welche ihn eigentlich garnichts angehen,Wenn er mir Themen erklärt die ich nicht im Unterricht verstanden habe und als Ansprechpartner für kurze Fragen ,nein
S154,student,2CHIF,2026-05-08T09:14:02.6233333,10. Schulstufe,Informatik,3,"Ja, regelmäßig",ChatGPT|Google Gemini,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code",Desktop-PC,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Beim Programmieren (Fehler finden, Code verstehen)",Hauptsächlich zu Hause,Programmierunterricht|Angewandte Mathematik,,Mehr Kritik,"Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Meine Texte oder meinen Code korrigieren und Rückmeldung geben",Das hängt vom Thema ab — ich möchte wählen können,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",2,Beides wäre hilfreich,,3,2,3,4,3,"Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen|Individuelles Feedback auf meine Aufgaben",2,3,Meistens,2,4,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Um häufige Missverständnisse zu erkennen,"Ja, Quellenangaben sind mir wichtig",Keine Ahnung,Keine Ahnung,
S155,student,2IHIF,2026-05-05T13:04:56.1133333,10. Schulstufe,Informatik,1,"Nein, noch nie",Microsoft Copilot,,"Ja, über 10 €/Monat",Nie,Programmieren und Fehlersuche im Code,Laptop,1,Täglich,"Bei Hausübungen, wenn ich nicht weiterkomme|Beim Programmieren (Fehler finden, Code verstehen)|Um Texte zu verbessern oder Feedback zu bekommen",Beides gleichermaßen,Biologie,,We dont need this ,Sich an mein Lerntempo und meinen Wissensstand anpassen,Mit Bildern und Diagrammen,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",1,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",,1,1,1,1,1,"Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen",1,1,Manchmal,1,1,1,Ist mir egal,Für keinen Zweck — meine Chats sollen privat bleiben,"Wäre nett, aber nicht entscheidend",the ai-tutor,Support during ,
S156,student,2IHIF,2026-05-05T13:06:53.1533333,10. Schulstufe,Informatik,2,"Ja, ein paar Mal ausprobiert",ChatGPT|Microsoft Copilot|Claude Code,,"Ja, bis inkl. 10 €/Monat",Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Übersetzungen|Prüfungsvorbereitung",Laptop,3,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Beim Programmieren (Fehler finden, Code verstehen)",Beides gleichermaßen,Programmierunterricht,,"nichts
","Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Quellen und weiterführende Links anbieten",Schritt-für-Schritt-Anleitungen,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",,3,2,3,2,3,"Individuelles Feedback auf meine Aufgaben|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Bessere Erklärungen als im Lehrbuch",3,2,Meistens,3,2,3,Ist mir egal,Um den Unterricht besser an unsere Fragen anzupassen,"Ja, Quellenangaben sind mir wichtig",n,n,
S157,student,2IHIF,2026-05-05T13:07:26.3266667,11. Schulstufe,Informatik,3,"Ja, regelmäßig",ChatGPT|Microsoft Copilot,,Nein,Etwa einmal pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code",Laptop,2,Gar nicht,"Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Weiß ich noch nicht,Programmierunterricht,,Use Ai properly,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen",Mit Beispielen und Vergleichen aus dem Alltag,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",2,"Ja, vereinfachte Sprache wäre hilfreich",,2,2,3,3,2,Personalisiertes Lerntempo,2,3,Meistens,2,3,2,Nur wenn ich vorher informiert werde,"Um zu sehen, ob der KI-Tutor gut funktioniert","Wäre nett, aber nicht entscheidend",f,"Math, programming. In science",
S158,student,2IHIF,2026-05-05T13:08:11.4966667,10. Schulstufe,Informatik,4,"Ja, ein paar Mal ausprobiert",Claude Code|Microsoft Copilot|ChatGPT,,Nein,Mehrmals pro Woche,Prüfungsvorbereitung|Programmieren und Fehlersuche im Code|Hausübungen lösen oder kontrollieren,Laptop,3,Gar nicht,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Hauptsächlich zu Hause,Programmierunterricht|Angewandte Mathematik,cabs,wenn lehrer es massgeschneidern an ihren unterricht,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,"Ja, vereinfachte Sprache wäre hilfreich",videos erstellen,2,3,4,4,3,"Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen|Individuelles Feedback auf meine Aufgaben",4,3,Selten,2,3,4,Ist mir egal,Um häufige Missverständnisse zu erkennen,Ich würde die Quellen ohnehin nicht überprüfen,dass lehrer sehen was geschrieben wurde,"immer jemanden fragen zu können, ausserhalb der schule und persönliches feedback",
S159,student,2IHIF,2026-05-05T13:10:19.6900000,10. Schulstufe,Informatik,3,"Ja, regelmäßig",Claude Code|ChatGPT|Microsoft Copilot,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code|Zusammenfassungen erstellen",Laptop,2,Etwa einmal pro Woche,"Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten",Weiß ich noch nicht,Programmierunterricht|Angewandte Mathematik,,"Anpassung an den Stoff, sodass die KI es so erklären würde, wie es Lehrer würden (spezifisch)",Stoff Schritt für Schritt erklären|Zusammenfassungen von Unterrichtsmaterial erstellen,Das hängt vom Thema ab — ich möchte wählen können,"Den nächsten Lösungsschritt zeigen, aber nicht die ganze Lösung",4,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",,3,2,4,3,3,"Gezielte Vorbereitung auf Prüfungen|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts",2,3,Selten,1,2,4,Nur wenn ich vorher informiert werde,Um den Unterricht besser an unsere Fragen anzupassen,"Ja, Quellenangaben sind mir wichtig",Fragen nach persönlichen Daten,Lernen für Tests wird einfacher ,
S160,student,2IHIF,2026-05-05T13:10:33.2700000,10. Schulstufe,Informatik,3,"Ja, ein paar Mal ausprobiert",ChatGPT|DeepL|Claude Code,LABA KI,"Ja, über 10 €/Monat",Nie,Hausübungen lösen oder kontrollieren|Prüfungsvorbereitung|Zusammenfassungen erstellen,Desktop-PC,2,Etwa einmal pro Woche,"Zur Vorbereitung auf Tests und Schularbeiten|Bei Hausübungen, wenn ich nicht weiterkomme|Beim Programmieren (Fehler finden, Code verstehen)",Hauptsächlich zu Hause,Programmierunterricht|Angewandte Mathematik|Deutsch,,Nix,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Zusammenfassungen von Unterrichtsmaterial erstellen",Schritt-für-Schritt-Anleitungen,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,Beides wäre hilfreich,,4,1,3,4,4,"Personalisiertes Lerntempo|Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts",2,3,Manchmal,2,2,3,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist","Um zu sehen, ob der KI-Tutor gut funktioniert|Um den Unterricht besser an unsere Fragen anzupassen","Wäre nett, aber nicht entscheidend",Keine Ahnung,Vorbereitung vor Prüfungen,
S161,student,2IHIF,2026-05-05T13:11:02.9600000,10. Schulstufe,Informatik,4,"Ja, regelmäßig",ChatGPT,deepseek,Nein,Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Programmieren und Fehlersuche im Code",Laptop,2,Mehrmals pro Woche,"Zur Vorbereitung auf Tests und Schularbeiten|Beim Programmieren (Fehler finden, Code verstehen)|Bei Hausübungen, wenn ich nicht weiterkomme",Hauptsächlich zu Hause,Programmierunterricht,,"Er sollte vor allem richtige dinge sagen und tun was ich sage das es tun soll, es sollte den stoff aus unserem unterricht schon kennen","Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Sich an mein Lerntempo und meinen Wissensstand anpassen","Kurze, knappe Antworten",Die komplette Lösung zeigen und erklären,3,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",das es effiezient arbeitet und kurz und knapp GENAU das sagt worum ihc es frage,3,2,3,1,4,"Individuelles Feedback auf meine Aufgaben|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts",2,3,Selten,2,2,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Um den Unterricht besser an unsere Fragen anzupassen,"Wäre nett, aber nicht entscheidend",wenn er nicht zuhört und viel zu lange antworten gibt,die meisten hausübungen sind ohne ki nicht schaffbar,
S162,student,2IHIF,2026-05-05T13:11:16.5266667,10. Schulstufe,Informatik,4,"Ja, regelmäßig",Claude Code|Google Gemini|ChatGPT,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Programmieren und Fehlersuche im Code",Desktop-PC,3,Etwa einmal pro Woche,"Beim Programmieren (Fehler finden, Code verstehen)|Bei Hausübungen, wenn ich nicht weiterkomme|Zum eigenständigen Vertiefen über den Unterricht hinaus",Beides gleichermaßen,Angewandte Mathematik|Programmierunterricht|Physik,,Es muss gute und richtige antworten geben die leicht erklärbar sind und die mand von anfang an versteht,Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Sich an mein Lerntempo und meinen Wissensstand anpassen,Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",Das erklären leicht machen,3,2,3,2,4,"Motivation und Abwechslung beim Lernen|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Personalisiertes Lerntempo",2,3,Manchmal,1,1,3,Nur wenn ich vorher informiert werde,Für keinen Zweck — meine Chats sollen privat bleiben,"Wäre nett, aber nicht entscheidend",Das er blödsinn erzählt und nie eine richtige antwort herbringt,Ich weiß nicht,
S163,student,2IHIF,2026-05-05T13:11:38.6133333,10. Schulstufe,Informatik,2,"Ja, regelmäßig",Google Gemini|Claude Cowork|Claude Code,,"Ja, über 10 €/Monat",Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code|Prüfungsvorbereitung",Laptop,2,Mehrmals pro Woche,"Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Beim Programmieren (Fehler finden, Code verstehen)",Hauptsächlich im Unterricht,Programmierunterricht|Angewandte Mathematik|Physik,,"it would be better if it knows all the context of my subject and my problem, and maybe how the structure of the subject","Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten",Mit Beispielen und Vergleichen aus dem Alltag,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",,3,2,3,4,3,Personalisiertes Lerntempo|Bessere Erklärungen als im Lehrbuch|Gezielte Vorbereitung auf Prüfungen,2,3,Manchmal,2,4,2,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist","Um zu sehen, ob der KI-Tutor gut funktioniert|Um den Unterricht besser an unsere Fragen anzupassen","Ja, Quellenangaben sind mir wichtig",idk,that it can help me to get more new skills and prepare better for the tests,no
S164,student,2IHIF,2026-05-05T13:12:28.0633333,10. Schulstufe,Informatik,2,"Ja, regelmäßig",ChatGPT,,Nein,Täglich,"Hausübungen lösen oder kontrollieren|Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code",Laptop,2,Etwa einmal pro Woche,"Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Beim Programmieren (Fehler finden, Code verstehen)",Hauptsächlich im Unterricht,Programmierunterricht,,hochladen von files ohne limit,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",1,Beides wäre hilfreich,,2,3,2,3,1,"Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Individuelles Feedback auf meine Aufgaben|Gezielte Vorbereitung auf Prüfungen",2,2,Meistens,1,2,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben|Um den Unterricht besser an unsere Fragen anzupassen,"Ja, Quellenangaben sind mir wichtig","zu viel unnötiger text, tut nicht was ich möchte",lehrnen zu hause ohne große recherche,
S165,student,2IHIF,2026-05-05T13:13:25.2866667,10. Schulstufe,Informatik,3,"Ja, regelmäßig",ChatGPT|Claude Code|Claude Cowork|GitHub Copilot|Perplexity|Google Gemini,MătaAI,Nein,Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code|Prüfungsvorbereitung",Laptop,2,Täglich,"Zur Vorbereitung auf Tests und Schularbeiten|Beim Programmieren (Fehler finden, Code verstehen)|Bei Hausübungen, wenn ich nicht weiterkomme",Hauptsächlich zu Hause,Programmierunterricht|Angewandte Mathematik|Physik,,"einfach besser sein und mind. so gut wie claude, die ki soll verstehen wenn sie einen fehler gemacht hat, die ki sollte dark mode haben, soll gratis sein",Sich an mein Lerntempo und meinen Wissensstand anpassen|Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Stoff Schritt für Schritt erklären,Das hängt vom Thema ab — ich möchte wählen können,"Den nächsten Lösungsschritt zeigen, aber nicht die ganze Lösung",4,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",bitte besser sein,3,2,2,3,4,Gezielte Vorbereitung auf Prüfungen|Personalisiertes Lerntempo,2,3,Selten,4,1,1,"Finde ich gut, das hilft beim Lernen",Um den Unterricht besser an unsere Fragen anzupassen|Um häufige Missverständnisse zu erkennen,"Wäre nett, aber nicht entscheidend","wenn er sagt "" ich kann dir diese frage leider nicht beantworten, die nutzungsbedingungen lassen das nicht zu,"" wenn er darauf besteht richtig zu liegen obwohl es falsch ist. ",viel denken,karin respect
S166,student,2IHIF,2026-05-05T13:13:31.6866667,10. Schulstufe,Informatik,3,"Ja, ein paar Mal ausprobiert",ChatGPT,,Nein,Nie,"Erklärungen zu Themen, die ich nicht verstehe|Prüfungsvorbereitung",Laptop,1,Gar nicht,Zur Vorbereitung auf Tests und Schularbeiten,Hauptsächlich zu Hause,Programmierunterricht,,"File uploads
","Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",1,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",,4,2,1,3,1,Gezielte Vorbereitung auf Prüfungen,2,2,Meistens,1,3,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,"Ja, Quellenangaben sind mir wichtig","fehlende anonymität, wiederholt falsche antworten, fehlende verständnis","keinen, es gibt viele gute modelle",lehrer sollen einen beweis vorbringen müssen um eine abgabe nicht zählen zu lassen
S167,student,2IHIF,2026-05-05T13:13:34.7766667,10. Schulstufe,Informatik,3,"Ja, regelmäßig",ChatGPT|Microsoft Copilot|Google Gemini|Perplexity|GitHub Copilot,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Texte schreiben oder verbessern|Hausübungen lösen oder kontrollieren",Laptop,3,Etwa einmal pro Woche,Zur Vorbereitung auf Tests und Schularbeiten,Weiß ich noch nicht,Angewandte Mathematik,,keine ahnung,Stoff Schritt für Schritt erklären,Mit Beispielen und Vergleichen aus dem Alltag,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",2,Beides wäre hilfreich,,3,2,3,3,3,Bessere Erklärungen als im Lehrbuch,3,3,Manchmal,1,3,2,Nur wenn ich vorher informiert werde,Um den Unterricht besser an unsere Fragen anzupassen,"Nein, mir reicht eine gute Antwort",keine ahnung,keine ahnung,
S168,student,2IHIF,2026-05-05T13:13:43.4466667,11. Schulstufe,Informatik,1,"Nein, noch nie",Keines,,Nein,Nie,Übersetzungen,Tablet,1,Etwa einmal pro Woche,"Beim Programmieren (Fehler finden, Code verstehen)",Beides gleichermaßen,Deutsch,,idk,"Stoff Schritt für Schritt erklären|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Zusammenfassungen von Unterrichtsmaterial erstellen","Kurze, knappe Antworten","Erst fragen, wo genau ich hänge, und dann gezielt helfen",3,Beides wäre hilfreich,To go to school for me,2,3,2,4,2,"Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen|Personalisiertes Lerntempo",3,1,Selten,4,2,3,Ist mir egal,Um häufige Missverständnisse zu erkennen|Für keinen Zweck — meine Chats sollen privat bleiben,Ich würde die Quellen ohnehin nicht überprüfen,F2P,-,
